8/14/2014 19:8:16 -- PID=8004 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:8:16 -- PID=524 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:8 -- PID=6660 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:8 -- PID=7852 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:9 -- PID=4836 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:9 -- PID=3328 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:10 -- PID=7884 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:36 -- PID=7132 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:37 -- PID=7860 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:38 -- PID=7388 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:38 -- PID=8052 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
8/14/2014 19:14:39 -- PID=7684 -- Error with throughput -- java.lang.NullPointerException [edu.stanford.slac.pinger.etl.extractor.pingtabe.PingtableCSVDownloader.run(PingtableCSVDownloader.java:27), edu.stanford.slac.pinger.main.GetPingtableCSV.downlaodCSVFiles(GetPingtableCSV.java:77), edu.stanford.slac.pinger.main.GetPingtableCSV.start(GetPingtableCSV.java:35), edu.stanford.slac.pinger.main.GetPingtableCSV.main(GetPingtableCSV.java:24)] 
