ID,Year,Month,Day,Unit,TimeStamp,Label
139,1998,02,16,Day,1998-02-16,98Feb16
140,1998,02,\N,Month,1998-02,Feb1998
141,1998,\N,\N,Year,1998,1998
142,1998,02,17,Day,1998-02-17,98Feb17
143,1998,02,\N,Month,1998-02,Feb1998
144,1998,\N,\N,Year,1998,1998
145,1998,02,18,Day,1998-02-18,98Feb18
146,1998,02,\N,Month,1998-02,Feb1998
147,1998,\N,\N,Year,1998,1998
148,1998,02,19,Day,1998-02-19,98Feb19
149,1998,02,\N,Month,1998-02,Feb1998
150,1998,\N,\N,Year,1998,1998
151,1998,02,20,Day,1998-02-20,98Feb20
152,1998,02,\N,Month,1998-02,Feb1998
153,1998,\N,\N,Year,1998,1998
154,1998,02,21,Day,1998-02-21,98Feb21
155,1998,02,\N,Month,1998-02,Feb1998
156,1998,\N,\N,Year,1998,1998
157,1998,02,22,Day,1998-02-22,98Feb22
158,1998,02,\N,Month,1998-02,Feb1998
159,1998,\N,\N,Year,1998,1998
160,1998,02,23,Day,1998-02-23,98Feb23
161,1998,02,\N,Month,1998-02,Feb1998
162,1998,\N,\N,Year,1998,1998
163,1998,02,24,Day,1998-02-24,98Feb24
164,1998,02,\N,Month,1998-02,Feb1998
165,1998,\N,\N,Year,1998,1998
166,1998,02,25,Day,1998-02-25,98Feb25
167,1998,02,\N,Month,1998-02,Feb1998
168,1998,\N,\N,Year,1998,1998
169,1998,02,26,Day,1998-02-26,98Feb26
170,1998,02,\N,Month,1998-02,Feb1998
171,1998,\N,\N,Year,1998,1998
172,1998,02,27,Day,1998-02-27,98Feb27
173,1998,02,\N,Month,1998-02,Feb1998
174,1998,\N,\N,Year,1998,1998
175,1998,02,28,Day,1998-02-28,98Feb28
176,1998,02,\N,Month,1998-02,Feb1998
177,1998,\N,\N,Year,1998,1998
178,1998,03,01,Day,1998-03-01,98Mar01
179,1998,03,\N,Month,1998-03,Mar1998
180,1998,\N,\N,Year,1998,1998
181,1998,03,02,Day,1998-03-02,98Mar02
182,1998,03,\N,Month,1998-03,Mar1998
183,1998,\N,\N,Year,1998,1998
184,1998,03,03,Day,1998-03-03,98Mar03
185,1998,03,\N,Month,1998-03,Mar1998
186,1998,\N,\N,Year,1998,1998
187,1998,03,04,Day,1998-03-04,98Mar04
188,1998,03,\N,Month,1998-03,Mar1998
189,1998,\N,\N,Year,1998,1998
190,1998,03,05,Day,1998-03-05,98Mar05
191,1998,03,\N,Month,1998-03,Mar1998
192,1998,\N,\N,Year,1998,1998
193,1998,03,06,Day,1998-03-06,98Mar06
194,1998,03,\N,Month,1998-03,Mar1998
195,1998,\N,\N,Year,1998,1998
196,1998,03,07,Day,1998-03-07,98Mar07
197,1998,03,\N,Month,1998-03,Mar1998
198,1998,\N,\N,Year,1998,1998
