#id,node_name,node_ip,latitude,longitude,nick_name,full_name,site_name,project_type
37,pinger.isra.edu.pk,121.52.155.245",25.4347,68.380333,PK.ISRA.EDU.N2,ISRA Hyderabad,isra.edu.pk,M,
38,pinger.lcwu.edu.pk,111.68.103.135",31.54477,74.328958,PK.LCWU.EDU.N2,Lahore College of Women University,lcwu.edu.pk,M,
39,pinger.lhr.nu.edu.pk,111.68.102.125",31.48104,74.303356,PK.NU.EDU.N2,FAST, B-Block, Faisal Town,lhr.nu.edu.pk,M,
40,pinger.nca.edu.pk,111.68.102.68",31.56743,74.306972,PK.NCA.EDU.N2,National College of Arts, NCA, Lahore,nca.edu.pk,M,
41,pinger.nchc.org.tw,140.110.20.230",24.80,120.971,TW.NCHC.ORG.N2,National Center for High Performance Computing,nchc.org.tw,M,
42,pinger.numl.edu.pk,111.68.97.109",33.66724,73.050663,PK.NUML.EDU,NUML University Islamabad,numl.edu.pk,M,
43,pinger.nwfpuet.edu.pk,121.52.147.71",34.001,71.4855,PK.NWFPUET.EDU.N1,University of Engineering and Technology Peshawar,nwfpuet.edu.pk,M,
44,pinger.pern.edu.pk,111.68.106.254",33.67331,73.054431,PK.PERN.EDU.N1,Pakistan Education and Research Network,pern.edu.pk,M,
45,pinger.sesame.org.jo,80.90.171.80",32.114,35.7144,JO.SESAME.ORG.N1,SESAME - Synchrotron-light for Experimental Science and Applications in the Middle East,sesame.org.jo,MB,
46,pinger.slac.stanford.edu,134.79.104.80",37.417,-122.2035,EDU.SLAC.STANFORD.N3,Stanford Linear Accelerator Center,slac.stanford.edu,MB,
47,pinger.sprace.org.br,200.136.80.16",-23.524,-46.6653,BR.ORG.SPRACE.N2,Sao Paulo Regional Analysis Center,sprace.org.br,M,
48,pinger.stanford.edu,171.66.6.39",37.4284,-122.177496,EDU.STANFORD.N9,Stanford University,stanford.edu,M,
49,pinger.uet.edu.pk,111.68.98.132",31.5,74.36,PK.UET.EDU.N2,University of Engineering and Technology,uet.edu.pk,M,
50,pinger.uettaxila.edu.pk,111.68.98.132",33.76789,72.825875,PK.UETTAXILA.EDU.N1,University of Engineering and Technology Taxila,uettaxila.edu.pk,M,
51,pinger.unesp.br,200.145.255.41",-23.5,-46.63,BR.UNESP.N1,University of Sao Paulo,unesp.br,MB,
52,pinger.unimas.my,49.50.236.98",1.465,110.4274,MY.UNIMAS.N4,University Malaysia, Sarawak,unimas.my,MB,
